surface,run_ts,sha,wall_s,duration_ms,duration_api_ms,num_turns,total_cost_usd,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,is_error,mcp_calendar,mcp_mail,mcp_account,mcp_system,mcp_legacy,tool_other
"post","2026-04-26T11-01-26","d1b1e68","130.01",125598,119005,31,0.4236144000000001,38,6580,30004,707618,false,10,14,2,1,0,3
"post","2026-04-26T11-03-36","d1b1e68","130.46",125679,121273,31,0.4757907000000001,44,7005,21282,969254,false,10,15,2,1,0,2
"post","2026-04-26T11-05-47","d1b1e68","146.18",141435,137173,30,0.4365565500000001,41,6828,21007,850791,false,10,14,2,1,0,2
"post","2026-04-26T11-08-13","d1b1e68","137.42",132669,128211,31,0.4490671500000001,40,7714,22985,823478,false,10,15,2,1,0,2
"post","2026-04-26T11-10-31","d1b1e68","146.33",141428,136776,31,0.43237694999999987,40,7095,21789,813744,false,10,15,2,1,0,2
"pre","2026-04-26T11-22-27","d88bd56","154.31",149715,145255,35,0.5500038,48,7758,35386,1002641,false,0,0,0,0,28,6
"pre","2026-04-26T11-25-02","d88bd56","149.65",145085,139381,38,0.51150555,52,7832,26105,986586,false,0,0,0,0,29,8
"pre","2026-04-26T11-27-32","d88bd56","160.15",155481,151711,38,0.49737030000000004,4130,8653,28152,832051,false,0,0,0,0,29,8
"pre","2026-04-26T11-30-13","d88bd56","163.59",159028,154747,40,0.4932498,1045,8228,33270,806441,false,0,0,0,0,29,10
"pre","2026-04-26T11-32-57","d88bd56","159.65",154873,148948,40,0.50991615,200,7703,28041,962058,false,0,0,0,0,29,10
